nickname,string,login,password,comment

# oracle example, use sid
orauser1@oradb1,dbi:Oracle:host=ORADB1.ABC.COM;sid=oradb1;port=1700,orauser1,%15%06%0E%19KzX%5BU,oracle with sid

# oracle example, use service_name, more recent trend
orauser2@oradb2,dbi:Oracle:host=ORADB2.ABC.COM;service_name=oradb2.us.db.com;port=l701,orauser2,%25%00%02%04%0E-L_TF,oracle with service_name

# use "" as there is a ',' between host and port
# ODBC Driver 11 for SQL Server matches the string in ..../etc/odbcinst.ini
sql_user@sql_db,"dbi:ODBC:DRIVER={ODBC Driver 11 for SQL Server};SERVER=AHOST.abc.com,1502;database=app1",sql_user,%09%06%0F%05%00%03%5E%5CU,microsoft sql server

# mysql example
tian@tiandb,dbi:mysql:host=linux1;port=3306;database=tiandb,tian,%07%11%A%1B3%2F%F%5%06,mysql

# sybase examp;le
sybuser1@sybdb1,dbi:Sybase:host=sybdb1.us.db.com;port=5500,sybuser1,3%06%02%0D%00-%03%17,Sybase

